"연령별(1)",2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4
"연령별(1)",대전광역시,대전광역시,대전광역시,동구,동구,동구,중구,중구,중구,서구,서구,서구,유성구,유성구,유성구,대덕구,대덕구,대덕구,대전광역시,대전광역시,대전광역시,동구,동구,동구,중구,중구,중구,서구,서구,서구,유성구,유성구,유성구,대덕구,대덕구,대덕구
"연령별(1)",소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여,소계,남,여
"총계",1455058,726142,728916,223409,112638,110771,232077,114361,117716,474444,233248,241196,350337,176991,173346,174791,88904,85887,1452251,724626,727625,222222,111953,110269,230341,113507,116834,473365,232714,240651,351277,177463,173814,175046,88989,86057
"0-4세",44153,22662,21491,5903,3084,2819,5541,2807,2734,14460,7420,7040,13930,7196,6734,4319,2155,2164,43471,22336,21135,5734,2978,2756,5405,2752,2653,14266,7321,6945,13767,7128,6639,4299,2157,2142
"5-9세",64841,33368,31473,8592,4455,4137,8732,4479,4253,21699,11241,10458,19518,9989,9529,6300,3204,3096,64077,32959,31118,8422,4370,4052,8478,4347,4131,21595,11149,10446,19362,9933,9429,6220,3160,3060
"10-14세",69942,35983,33959,9440,4887,4553,10151,5226,4925,23792,12171,11621,19117,9814,9303,7442,3885,3557,69695,35910,33785,9359,4841,4518,10047,5177,4870,23736,12215,11521,19200,9834,9366,7353,3843,3510
"15-19세",73199,38021,35178,10290,5305,4985,11077,5755,5322,24772,12836,11936,18485,9648,8837,8575,4477,4098,72480,37617,34863,10115,5246,4869,10901,5639,5262,24413,12590,11823,18618,9744,8874,8433,4398,4035
"20-24세",101706,52185,49521,15949,8236,7713,14660,7504,7156,34274,17153,17121,24653,12704,11949,12170,6588,5582,100236,51291,48945,15699,8031,7668,14398,7353,7045,33693,16853,16840,24417,12561,11856,12029,6493,5536
"25-29세",109315,58506,50809,14401,7866,6535,15707,7960,7747,39206,20299,18907,27990,15578,12412,12011,6803,5208,109161,58373,50788,14391,7831,6560,15653,7944,7709,39154,20296,18858,27895,15494,12401,12068,6808,5260
"30-34세",92214,49266,42948,11976,6641,5335,12218,6395,5823,31798,16504,15294,26568,14325,12243,9654,5401,4253,93164,49772,43392,12030,6665,5365,12208,6411,5797,32086,16632,15454,26887,14497,12390,9953,5567,4386
"35-39세",98074,50302,47772,13564,7170,6394,13088,6649,6439,33113,16719,16394,28266,14395,13871,10043,5369,4674,96505,49606,46899,13213,6981,6232,12762,6487,6275,32627,16514,16113,27915,14251,13664,9988,5373,4615
