"행정구역별(1)","성별(1)","연령별(1)",2020.4/4
"종로구","계","20세",1835
"종로구","계","21세",1868
"종로구","계","22세",2016
"종로구","계","23세",2288
"종로구","계","24세",2467
"종로구","계","25세",2604
"종로구","계","26세",2583
"종로구","계","27세",2606
"종로구","계","28세",2616
"종로구","계","29세",2533
"종로구","계","30세",2311
"종로구","계","31세",2012
"종로구","계","32세",2007
"종로구","계","33세",1951
"종로구","계","34세",1803
"중구","계","20세",1332
"중구","계","21세",1340
"중구","계","22세",1455
"중구","계","23세",1708
"중구","계","24세",1819
"중구","계","25세",1930
"중구","계","26세",2113
"중구","계","27세",2256
"중구","계","28세",2384
"중구","계","29세",2249
"중구","계","30세",2092
"중구","계","31세",2025
"중구","계","32세",2096
"중구","계","33세",1997
"중구","계","34세",1921
"용산구","계","20세",2489
"용산구","계","21세",2566
"용산구","계","22세",2649
"용산구","계","23세",3017
"용산구","계","24세",3036
"용산구","계","25세",3479
"용산구","계","26세",3753
"용산구","계","27세",3891
"용산구","계","28세",4264
"용산구","계","29세",4341
"용산구","계","30세",4045
"용산구","계","31세",3861
"용산구","계","32세",3842
"용산구","계","33세",3678
"용산구","계","34세",3632
"성동구","계","20세",3427
"성동구","계","21세",3497
"성동구","계","22세",3822
"성동구","계","23세",4230
"성동구","계","24세",4614
"성동구","계","25세",4879
"성동구","계","26세",5095
"성동구","계","27세",5126
"성동구","계","28세",5249
"성동구","계","29세",5104
"성동구","계","30세",4804
"성동구","계","31세",4657
"성동구","계","32세",4841
"성동구","계","33세",4653
"성동구","계","34세",4721
"광진구","계","20세",4248
"광진구","계","21세",4483
"광진구","계","22세",5160
"광진구","계","23세",5796
"광진구","계","24세",6506
"광진구","계","25세",6970
"광진구","계","26세",7422
"광진구","계","27세",7421
"광진구","계","28세",7687
"광진구","계","29세",7247
"광진구","계","30세",6269
"광진구","계","31세",6140
"광진구","계","32세",5891
"광진구","계","33세",5481
"광진구","계","34세",5332
"동대문구","계","20세",4357
"동대문구","계","21세",4508
"동대문구","계","22세",5244
"동대문구","계","23세",5793
"동대문구","계","24세",6129
"동대문구","계","25세",6254
"동대문구","계","26세",6340
"동대문구","계","27세",6052
"동대문구","계","28세",5956
"동대문구","계","29세",5698
"동대문구","계","30세",5264
"동대문구","계","31세",4926
"동대문구","계","32세",4917
"동대문구","계","33세",4661
"동대문구","계","34세",4667
"중랑구","계","20세",4176
"중랑구","계","21세",4201
"중랑구","계","22세",4564
"중랑구","계","23세",5176
"중랑구","계","24세",5505
"중랑구","계","25세",6088
"중랑구","계","26세",6492
"중랑구","계","27세",6556
"중랑구","계","28세",6906
"중랑구","계","29세",6448
"중랑구","계","30세",6015
"중랑구","계","31세",5798
"중랑구","계","32세",5814
"중랑구","계","33세",5574
"중랑구","계","34세",5552
"성북구","계","20세",5903
"성북구","계","21세",6079
"성북구","계","22세",6368
"성북구","계","23세",7066
"성북구","계","24세",6945
"성북구","계","25세",7169
"성북구","계","26세",7222
"성북구","계","27세",6862
"성북구","계","28세",6824
"성북구","계","29세",6534
"성북구","계","30세",5894
"성북구","계","31세",5721
"성북구","계","32세",5550
"성북구","계","33세",5561
"성북구","계","34세",5565
"강북구","계","20세",3507
"강북구","계","21세",3604
"강북구","계","22세",3913
"강북구","계","23세",4291
"강북구","계","24세",4356
"강북구","계","25세",4594
"강북구","계","26세",4755
"강북구","계","27세",4613
"강북구","계","28세",4789
"강북구","계","29세",4522
"강북구","계","30세",3905
"강북구","계","31세",3828
"강북구","계","32세",3733
"강북구","계","33세",3530
"강북구","계","34세",3557
"도봉구","계","20세",3876
"도봉구","계","21세",3807
"도봉구","계","22세",3953
"도봉구","계","23세",4366
